,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
5841,Park View City,Park View City,3.89,2.0,5.8,2.0,"Own a possessionable 2-bed apartment in the prime Terrace Apartments of Park View City with a limited-time special installment plan! Size: 1,296 Sq. ft Total Price: Rs. 38,88,000 Down Payment (25%): Rs. 9,72,000 Installments: 18 Monthly Installments of Rs. 1,62,000 Rate per Sq. ft: Rs. 30,000 Possession: Available on 50% payment This is the first time Park View City is offering a possessionable apartment on just 25% down payment with a flexible 18-month installment plan valid only till end of April. Dont miss this golden opportunity to invest in one of Islamabads most prestigious locations with fast possession and flexible payment options. Contact now to book your unit before the offer expires!",0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,0.6706896551724139,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
5843,Park View City,Park View City,1.73,2.0,5.1,2.0,"Park View City Townhouses Limited Units Available! Own a luxurious townhouse in Park View City, J Block, with an easy 1-year installment plan. Perfect for families and investors, these townhouses offer modern design, premium finishes, and a prime location in Islamabads most sought-after community. Property Details: Size: 1,155 sq. ft. Location: J Block, Park View City Pricing: Ground Floor: PKR 16,000 per sq. ft. 1st, 2nd & 3rd Floor: PKR 15,000 per sq. ft. Payment Plan: 1-year easy installments Why Invest in Park View Townhouses? High Rental & Appreciation Potential Secure Gated Community with Top Amenities Well-Planned Layouts & Premium Construction Limited units availablebook yours today!",0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.3392156862745098,Future,Ground/First Floor,Lower Levels,Dual Setup
5856,E-11,E-11,1.2,3.0,6.2,3.0,E-11 Three Bedroom Apartment Available For Sale 3 Bedroom 3 Washroom Separate Kitchen T. V Lounge Underground Car Parking Proper Family Building Good Maintenance Staff 24/7 Security Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal.,0,4.0,1.0,1.0,5.0,1.0,2.0,2.0,0.1935483870967742,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
5857,E-11,E-11,1.2,2.0,4.9,2.0,"E-11 Two Bedroom Unfurnished Apartment Available For Sale Rental Value 50,000 (Unfurnished) 2 Bedroom 2 Washroom Separate Kitchen Spacious T. V Lounge Underground Car Parking Lift Available Good Maintenance Staff Family Building Good Opportunity For Investors 24/ Security Services Near To Markaz Near To Mosque Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal.",0,1.0,1.0,1.0,5.0,,,,0.24489795918367344,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
5858,E-11,E-11,0.5,1.0,1.8,1.0,"E-11 One Bedroom Apartment Available For Sale Rental Value 30,000 1 Bedroom 1 Washroom Open Kitchen T. v Lounge Lift Available Good Maintenance Staff 24/7 Security Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal.",0,1.0,1.0,1.0,5.0,,1.0,,0.2777777777777778,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
5859,D-12,D-12,1.6,2.0,2.9,2.0,-CDA TRANSFER -3RD FLOOR -CITY CENTER PLAZA -NO LIFT -2 BED WITH ATTACH WASHROOMS -CALL FOR FURTHER DETAILS,1,2.0,3.0,1.0,4.0,1.0,2.0,,0.5517241379310345,Modern Era,Lower Floors,Lower Levels,Single/None
5863,D-17,D-17,0.27,1.0,1.8,1.0,"1 Bed Flat For Sale In D-17/2 Islamabad 1 Bed With 1 Attached Bathroom 1 Tv Lounge 1 Kitchen 1 Balcony 3rd Floor 400sqft Monthly Rent 15k Electricity Meters. Nearest Location To GT Road, Motorway M1 And M2 And Margalla Avenue (Gt Road To D- 12) Demand: 27lacs",0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,0.15,Modern Era,Lower Floors,Lower Levels,Single/None
5864,D-17,D-17,0.35,1.0,2.2,1.0,"One Bed Flat Is Available For Sale Onebed Flat For Sale. 1 bed with 1 attached bath 1 tv lounge 1 kitchen 495sqft 17k monthly rent Separate Gas, Electricity Meters. 24 hours security guards and CCTV surveillance. Main Markaz, Marts, J7 shopping Mall, Park, Mosque, Gym on walking distance. Nearest Location to GT Road, Motorway M1 and M2 and Margalla Avenue (Gt Road to D-12)",0,1.0,1.0,1.0,4.0,0.0,,,0.15909090909090906,Modern Era,Ground/First Floor,Lower Levels,Single/None
5865,I-16,I-16,1.02,3.0,6.6,3.0,I-16/3 PHA Apartment of 3 bed with servant room on Ground Floor with open view and sun facing for More Detail and option feel free to contact us,0,1.0,1.0,2.0,7.0,1.0,1.0,,0.15454545454545457,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
5866,I-16,I-16,1.02,3.0,6.6,3.0,I-16 PHA 3 bed with servant Room Type B On Ground floor and corner for sale For More detail and option feel free to contact us,0,2.0,1.0,2.0,6.0,1.0,2.0,1.0,0.15454545454545457,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
5891,Capital Square,B-17,0.85,2.0,4.7,2.0,Capital Square 2 bed apartment for sale Size1050 Block C Motorway facing Floor 11th demand 80 lac,0,2.0,2.0,1.0,12.0,1.0,1.0,1.0,0.18085106382978722,Recently Built,Lower Floors,Mid Rise Core,Single/None
5895,MPCHS,MPCHS - Multi Gardens,0.35,1.0,1.6,1.0,1 Bed 370 Square Feet 1st Floor E Block Mini Markaz For More Information Contact: Twin Peaks Associates B 17 Islamabad,0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,0.21874999999999997,Recently Built,Lower Floors,Mid Rise Core,Single/None
5898,Capital Square,B-17,0.83,2.0,4.7,2.0,capital square D block 7th floor all facilities good rental income best chance for investment I've also another multiple options in capital square and allover Multi Garden B 17 Islamabad,0,2.0,7.0,3.0,12.0,1.0,1.0,1.0,0.17659574468085104,Modern Era,Mid-Level,Mid Rise Core,Multiple Bank
5900,Capital Square,B-17,0.93,2.0,5.0,2.0,2 bed 1125 square feet 1st floor Fully Furnished apartment block C good location very reasonable price All facilities For more information contact:,0,2.0,4.0,2.0,12.0,,1.0,1.0,0.186,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
5901,Capital Square,B-17,0.98,2.0,5.4,2.0,2 bed luxury Apartment for sale in capital square Multi Garden B 17 Islamabad Furnished 2 bed apartment Size 1225 sq feet 6 floor B block 98 dead final For more information contact:,0,2.0,6.0,2.0,12.0,1.0,1.0,1.0,0.18148148148148147,Recently Built,Mid-Level,Mid Rise Core,Dual Setup
5907,MPCHS,MPCHS - Multi Gardens,0.6,2.0,3.4,2.0,D block main Markaz 2 Bed room flat 2 bathroom TV launge 1 kitchen tarries 770 square feet brand New 1st floor water no issue electricity meter very reasonable price For more information contact,1,1.0,1.0,1.0,5.0,,1.0,,0.17647058823529413,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
5934,Bahria Enclave,Bahria Enclave,0.57,1.0,3.1,1.0,one bed rented apartment available for sale bedrooms tv lounge Kitchen bathroom lift available CCTV camera installed security guard 24 hr available,0,2.0,2.0,1.0,5.0,,1.0,,0.18387096774193545,Recently Built,Lower Floors,Mid Rise Core,Single/None
5938,Bahria Enclave,Bahria Enclave,0.6864,1.0,2.5,1.0,"This 572 SQFT Apartment comes with modern ceilings, ornate light fixtures and newly painted walls so you can design your home without wasting anymore time. Book this SALE property now, before it's too late! When you have a property of 572 SQFT property with maximum utilization of space, it will allow you to be truly creative with your furniture placement. At a price of PKR Rs. 6,864,000 this is the best property you can find in Bahria Enclave - Sector C1. Looking to building a home in this city in the near future? Surely, there is no better location than Bahria Enclave - Sector C1. Come for the charm, stay for the facilities in Islamabad. Find out what the property entails below. You can give us a call right now, to find more about the property.",0,1.0,1.0,1.0,6.0,,1.0,1.0,0.27456,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5940,Bahria Enclave,Bahria Enclave,1.1,2.0,4.2,2.0,2 Bed Rented Apartment Is Available For Sale In Sector C1 Main Boulevard Beautiful View Prime Location In Top Most Luxurious Society Of The Capital Bahria Enclave Islamabad. -Gray Structure Almost Completed -Prime View. -Main Boulevard. -Near To Main Entrance. -Outclass Location. -For Residential Separate Entrance. -For Residential Separate Parking. -Lift Available In Project. -Near To Bird Avery. -Sector C1 97% Developed. -Near To Mosque. -Near To School. -Main Excess To All Over Bahria Enclave. For More Details. Feel Free To Call:. . .,0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.2619047619047619,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5942,Madina Tower,E-11,1.9,3.0,6.2,3.0,"Accommodation 3Bedroom Attached Bathroom Tv Lounge Kitchen Size 1400 Square Feet Underground Car Parking Cctv Cameras 24/7 Security Elevators Mosque Tuck Shop Residential Building Family Environment Safe And Secure Investment We Deal All CDA Sectors Of Islamabad Other Options Available Executive Heights,Savoy,18west,Abu Dhabi,Park Avenue etc. For Further Info And Options Feel Free To Contact us",0,1.0,1.0,1.0,10.0,1.0,,0.0,0.30645161290322576,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
5943,Madina Tower,E-11,1.55,2.0,5.2,2.0,2Bedroom Attached Bathroom Tv Lounge Kitchen Mosque Elevators Installed Tuck Shop Mosque Car Parking Cctv Cameras 24/7 Security Residential Building Family Environment Safe And Secure Investment We Have Other Options Available For Sale And Rent We Deal All CDA Sectors Of Islamabad For Further Info And Options Feel Free to Contact Us,0,1.0,1.0,1.0,11.0,1.0,,1.0,0.2980769230769231,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5945,Park Avenue,F-11,6.0,3.0,12.9,3.0,3Bedroom Attached Bathroom Tv Lounge Kitchen Drawing Dining Store Room Servant Quarter Elevators Installed Tuck Shop Mosque Car Parking Cctv Cameras 24/7 Security Residential Building Family Environment Safe And Secure Investment We Have Other Options Available For Sale And Rent We Deal All CDA Sectors Of Islamabad For Further Info And Options Feel Free to Contact Us,0,1.0,1.0,1.0,9.0,0.0,,0.0,0.46511627906976744,Established,Ground/First Floor,Mid Rise Core,Single/None
5951,Askari Heights 4,DHA Phase 5,3.1,3.0,10.7,3.0,"Askari 4 2nd floor apartment 2400 sq ft 3 bedroom with attached bath. Tv lounge, dining. Drawing room (with wall papers ) 1 servant room with attached bath. 2 balconies ,front and back. Kitchen Plenty of storage area , 1 decent size store room. Apartment comes with a decent size garage, (192 sq ft) Heat resistant coating on the roof , which brings down the electricity cost by 10-15%",0,1.0,1.0,1.0,12.0,,2.0,,0.28971962616822433,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
5966,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,6.35,2.0,7.3,2.0,7th Floor Fully Furnished All Facilities Are Available Gym Is Also Available Car Parking Good Environment Full Proof Security,0,4.0,1.0,10.0,7.0,4.0,1.0,2.0,0.8698630136986301,Brand New (2025),Ground/First Floor,Mid Rise Core,High-Capacity
5976,Diplomatic Enclave,Diplomatic Enclave,6.0,2.0,7.3,2.0,Diplomatic Enclave 2 Bedroom Decent Furnished Apartment 1650 Sq Ft For Sale East Face Incoming Rent Before 1100 USD,0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.8219178082191781,Modern Era,Ground/First Floor,Ground/Flat,Single/None
5983,Soan Garden,Soan Garden,0.55,2.0,3.0,2.0,Beautiful flat 3rd floor Near Soan Markaz and Islamabad highway Please call for more information & visit,0,1.0,1.0,1.0,6.0,,1.0,1.0,0.18333333333333335,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5987,Gulberg Emporium Mall & Residency,Gulberg Greens,1.8,3.0,5.3,3.0,Gulberg Greens Business Square Gulberg Emporium Mall &Amp; Residency CDA Approved Project Fully Furnished Apartment 3BHK With Attached Washroom Corner Apartment Beautiful View Size 1200 Square Feet Rental Value 125k Contact For More Information.,0,1.0,1.0,1.0,5.0,,,1.0,0.339622641509434,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5991,B-17,B-17,0.65,2.0,3.6,2.0,CHANCE DEAL BRAND NEW 2 BED APARTMENT MAIN MARKAZ MOST PEACEFUL AND BEAUTIFUL LOCATION 800 SQFT PLENTY WATER SECURITY CARD OPERATED ELEVATOR FEEL FREE TO CONTACT CENTERPOINT,0,1.0,1.0,1.0,1.0,1.0,,1.0,0.18055555555555555,Modern Era,Ground/First Floor,Ground/Flat,Single/None
5995,Korang Town,Korang Town,0.6,3.0,4.4,2.0,1st Floor 2 Bedrooms Size 1000 Sqft All Facilities Are Available,1,2.0,1.0,2.0,1.0,,1.0,,0.13636363636363635,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
5998,Residency,DHA Phase 2,1.5,3.0,6.3,3.0,"Defence Residency DHA-2 Islamabad Three Bedroom Apartment available for sale Three Bedroom Attach Bathroom, Store Room, Tv Lounge, Kitchen And Terrace. Elcielo Tower A Area 1414 Sq. Ft Floor:- 8th Floor Price = 15,000,000/- All Kind Of Facilities Are Available Self Car Parking, Adjacent To Park Water Filtration Plant, Children Park, Shopping Center, Massive Security System, Gated Community, Backup Generator, 24 Hours Security. Near Park, Punjab Cash And Carry, Giga Mall. 24 Hours Power Backup, Very Good Environment. Building Amenities Lift Elevator With 24 7 Backup Generator System Security Services 24 7 Family Park Just Around The Building Water Filtration Plant Jamia Masjid On Walking Distance Commercial On Walking Distance Punjab Cash And Carry On Walking Distance Giga Mall On Walking Distance World Trade Center (Hyperstar, National And International Brands, Gloria Jeans, Food Court Etc) APS School, Roots Ivy University Etc For More Information Contact Please On Above Written Cell No.",0,1.0,8.0,2.0,10.0,1.0,1.0,1.0,0.2380952380952381,Recently Built,Mid-Level,Mid Rise Core,Dual Setup
6002,F-11,F-11,5.6,3.0,10.7,3.0,"Luxury Corner Apartment for Sale F11, Islamabad An elegant fully furnished corner apartment is available for sale in the prime sector of F11. Property Features: Covered Area: 2,400 sq. ft. Floor: Second Floor Bedrooms: Each with its own private terrace, proper ventilation & beautiful views Drawing & Dining Room Spacious TV Lounge Modern Kitchen with high-end fittings Powder Room Servant Quarter with attached bathroom Beautiful Renovation with top-quality furniture and premium accessories Fully air-conditioned with inverter units Double Road Access Safe & secure environment Financial Details: Monthly Rental Value: Rs. 250,000+ Asking Price: Rs. 5 Crore 60 Lakh Location: F11, Islamabad A prime location with easy access to all major amenities. This is a perfect investment opportunity or a dream home for those seeking modern living in a peaceful neighborhood. Contact now for more details or to schedule a visit.",0,1.0,1.0,1.0,6.0,0.0,,0.0,0.5233644859813084,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6003,F-11,F-11,4.5,3.0,11.8,2.0,"F-11 Abu Dhabi Tower Apartment for Sale A spacious 2-bedroom apartment (converted into 3 bedrooms) is available for sale in the prime location of F-11, Abu Dhabi Tower. Bedrooms: 3 (originally 2 bedrooms, converted into 3) Bathrooms: Attached with each bedroom Covered Area: 2650 sq. ft. Floor: 3rd Floor Living Space: TV lounge, drawing & dining area Kitchen: Fully equipped Servant Quarter: With attached bathroom Current Rental Value furnished: PKR 150,000 per month Unfurnished 115000 Demand: PKR 4 Crore 50 Lakh This is a well-maintained, prime property with excellent investment and living potential.",0,1.0,3.0,1.0,9.0,0.0,,,0.3813559322033898,Modern Era,Lower Floors,Mid Rise Core,Single/None
6004,Gulberg Greens,Gulberg Greens,1.1,2.0,3.8,2.0,Gulberg Green Bussiness square 02 bedroom 02 washroom TV lounge kitchen terrace 850 sq ft three sided corner apartment for sale on investor rate,0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,0.2894736842105263,Recently Built,Lower Floors,Mid Rise Core,Single/None
6005,Gulberg Business Square,Gulberg Greens,0.88,1.0,2.4,1.0,Gulberg Green Business square project name Irenic Square 01 bedroom Non furnished for sale 01 bedroom 01 washroom TV lounge Kitchen Balcony Already rented apartment,1,4.0,3.0,2.0,5.0,,,,0.3666666666666667,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
6006,AJ Towers,Gulberg Greens,2.88,2.0,7.8,2.0,Gulberg Green Islamabad AJ Tower 02 bedroom 02 washroom TV lounge Kitchen Terrace Balcony Main road facing corner 13th floor,0,2.0,13.0,3.0,17.0,1.0,1.0,1.0,0.36923076923076925,Recently Built,High-Rise,High Rise,Multiple Bank
6007,Gulberg Arena Mall,Gulberg Greens,1.85,3.0,9.6,3.0,Gulberg Green Islamabad Areena mall Fully furnished luxury Apartment for sale 03 bedroom 03 washroom TV lounge kitchen Balconies Store room Balcony Three sided view margalla Facing 03 king size Bed 05 AC's installed 03 LCD 10 seater sofa set Washing Machine All kitchen accessories Geasor installed lifts installed 24 hours security available backup generator for corridoor and lifts,0,2.0,6.0,3.0,8.0,1.0,1.0,1.0,0.19270833333333334,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
6008,Gulberg Greens,Gulberg Greens,0.8,1.0,2.4,1.0,Gulberg Green Serene Height Studio Apartment 550 Sq Ft Farmhouse Facing 5th Floor Beautiful View,0,1.0,5.0,3.0,8.0,2.0,1.0,2.0,0.33333333333333337,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
6009,Diamond Mall & Residency,Gulberg Greens,1.95,4.0,7.9,4.0,Gulberg Green Diamond Mall & Excellency 04 bedroom 04 washroom TV lounge kitchen terrace balcony main road facing corner 4th floor,0,2.0,4.0,4.0,8.0,1.0,1.0,1.0,0.24683544303797467,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
6015,E-11,E-11,1.1,1.0,3.8,1.0,one Bed with TVL open Kitchen attach bathroom Fully Furnished with all facilities good for investment and High Rental income For More Details feel free to call,0,1.0,5.0,2.0,9.0,,,,0.2894736842105263,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
6017,Gulberg Business Square,Gulberg Greens,5.7,3.0,9.9,3.0,"*3 Bedroom Semi-Furnished Apartment* *Key Features:* 1. *Net Area:* 2235 sqft 2. *Green Area:* 1095 sqft 3. *Air Conditioning:* Installed in all rooms and lounge 4. *Water Heater:* 35-gallon geyser installed 5. *Two Kitchen:* Hood and stove installed 6. *Bathrooms:* 3 7. *Power Room:* 1 8. *Utility Room:* 1 9. *Windows:* All rooms With Large Windows 10. *Floor:* Apartment is on the 6th floor 11. *Amenities:* - Elevator - 24/7 Receptionist - 24/7 Security - Commercial floor restaurant available - 24/7 Water supply - 24/7 LPG gas supply *Rent Details:* * Sale Demand: PKR 57,000,000",0,4.0,3.0,2.0,5.0,1.0,3.0,2.0,0.5757575757575758,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
6034,Luxus Mall and Residency,Gulberg Greens,3.85,5.0,22.0,3.0,Gulberg Green Islamabad project name Luxus Mall & Residency *LUXURY PENT HOUSE* Total Area 5000 sq ft 3200 sqft Constructed Area 1800 sqft open area 3 rooms with attach baths. 2 store rooms. 2 servant room with attach baths. 1 drawing & dining room with attached bathroom. 1 spacious living hall 1 parking,1,1.0,7.0,1.0,8.0,,,,0.17500000000000002,Recently Built,Mid-Level,Mid Rise Core,Single/None
6039,Eighteen,Kashmir Highway,2.62,2.0,3.4,1.0,"1 Bedroom Apartment in EIGHTEEN Islamabad | Modern Living Redefined Description: Discover refined living in this elegant 1-bedroom apartment located in the heart of EIGHTEEN Islamabad a premium lifestyle community. Designed with modern aesthetics and luxury in mind, this apartment features high-quality finishes, a spacious layout, and access to world-class amenities including a golf course, clubhouse, and 24/7 security. Perfect for singles, couples, or investors seeking style, comfort, and long-term value in one of Islamabads most prestigious addresses. Let me know if it's for sale or rent, and I can adjust it accordingly.",0,2.0,1.0,1.0,6.0,0.0,1.0,1.0,0.7705882352941177,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6040,Silver Oaks Apartments,F-10,7.0,3.0,7.8,3.0,3 Bed Corner Silver Oaks Sun Facing 1750 Sqft 3 Balconies Fully furnished Rental Value: 250 lac,0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8974358974358975,Modern Era,Ground/First Floor,Ground/Flat,Single/None
6044,D-17,D-17,0.34,1.0,1.8,1.0,"1Bed Flat For Sale In D-17/2 Islamabad One Bed Flat Is Available For Sale Onebed Flat For Sale. 1 bed with 1 attached bath 1 tv lounge 1 kitchen 400sqft 17k monthly rent Separate Electricity Meters. 24 hours security guards and CCTV surveillance. Main Markaz, Marts, J7 shopping Mall, Park, Mosque, Gym on walking distance. Nearest Location to GT Road, Motorway M1 and M2 and Margalla Avenue (Gt Road to D-12) Price 34lacs",0,1.0,1.0,1.0,4.0,0.0,1.0,,0.18888888888888888,Modern Era,Ground/First Floor,Lower Levels,Single/None
6047,MPCHS,B-17,0.85,2.0,4.7,2.0,2 Bed Apartment 2 Bedroom With Attached Washroom TV Lounge Kitchen 1050 Sq Ft 4th Floor Motorway Facing Solid Construction Very Reasonable Price,0,2.0,4.0,3.0,11.0,1.0,1.0,,0.18085106382978722,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
6049,F-11,F-11,1.08,1.0,3.8,1.0,**Fully Furnished Apartment for Sale** Modern apartment located in a well-maintained building. Elegantly furnished with stylish dcor and quality fittings. Includes all essential appliances and ready for immediate move-in. Ideal for comfortable living or a great investment opportunity. . with High rental Income,0,1.0,1.0,1.0,9.0,,1.0,1.0,0.2842105263157895,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6050,Goldcrest Highlife,DHA Phase 2,1.23,2.0,6.0,2.0,"Luxury Apartment In Prime Location In DHA Phase 2 Islamabad. Goldcrest Highlife-1 Two Bedroom Apartment Floor 26th Area 1353 Sq. Ft Total Price Rs. =12,335,700/- Upfront payment = 10,000,000/- Quarterly Installment = 350,000/- Grey Structure 100%Complete Possession In 2027 Highly recommended for investment also for Good ROI Goldcrest Highlife Is Another Mega Project By The World Renown Giga Group. This Project Is Being Developed 1 Km Inwards From The Main GT Road And Giga Mall In Sector A, DHA 2, Islamabad. Goldcrest Highlife Is A Real Estate Luxurious Investment And Lifestyle Project, With Standout Features. This Project Is Launched And Developed By Giga Group In The Heart Of Sector A, DHA Phase-II Islamabad. Goldcrest Highlife Offers Striking Architecture, World-Class Amenities, And Breathtaking Views. Each Unit Offers Breathtaking Views With Matchless Interior Finishes And Thoughtful Details With Only The Finest Materials Used In The Development, Offering A Unique And Unheard-Of Luxury Experience For The First Time In Pakistan. All The World-Class Features And Facilities Are Available In Goldcrest Highlife. The Rooftop Facilities Of Goldcrest Highlife Include Kids Playing Areas, Gyms, Gardens, Swimming Pools, Relaxation Areas, Health Clubs, And Sitting Areas. The BBQ Areas, Jogging Walking Tracks, Sitting Areas, A Mosque, And Fountains Are Also Available On The Rooftop For The Owners Of The Residential Units. Rooftop Amenities Infinity Swimming Pool, Relaxation Lounge, Juice Bar, Health Club, Gymnasium, Seating Area &Amp; Garden. Podium Level Mosque, Children Play Areas, Barbeque Area, Jogging Track, Water Bodies &Amp; Fountains, Garden. Standard Features 1, 2, 3-Bed Apartments, Community Center, Power Backup, Covered Car Parking, 24-Hours CCTV Security And Surveillance, Fully Furnished Apartments (Optional), Prime Location Of DHA 2 Islamabad. For More Information Contact Please On Above Written Cell No.",0,2.0,6.0,5.0,10.0,0.0,1.0,0.0,0.205,Brand New (2025),Mid-Level,Mid Rise Core,High-Capacity
6051,I-8,I-8,2.2,3.0,7.8,3.0,Flat Area 1750 sq ft Rooms 3 Tv Lounge 1 Bathroom 1 Washroom 2 Terrace Area back side Seperate store room Big Kitchen Area Net covered Proper entrance Seperate Sewerage Line for washroom and kitchen Seperate Gass connection for stove and burner for gass loadshedding Corner side Airy Flat and Natural sun light accesible,1,1.0,1.0,1.0,2.0,,,,0.2820512820512821,Recently Built,Ground/First Floor,Lower Levels,Single/None
6052,Bahria Garden City,Bahria Town,1.02,1.0,2.8,1.0,"Luxury Apartment for Sale in Bahria Garden City Golf View Discover the perfect opportunity to own a premium apartment in the prestigious Bahria Garden City , located in the serene Golf Area. Situated on the 25th floor, this apartment offers breathtaking views and a private balcony for you to enjoy the stunning landscape, including the golf course right in front of the building. Key Features: Prime location in Bahria Garden City Golf Area High-floor unit (25th floor) with scenic balcony views Luxury building with top-class amenities and lifestyle 3-year installment plan (50% already paid) Offered at the old rate significantly lower than the current market price Urgent sale only 1 of our 2 units is being sold due to immediate financial need This is a rare chance to invest in a high-potential property at an exceptional value. Whether you're looking for a luxurious residence or a smart investment, this apartment ticks all the boxes. Act fast serious buyers only.",0,1.0,1.0,1.0,2.0,,1.0,,0.3642857142857143,Recently Built,Ground/First Floor,Lower Levels,Single/None
6053,Eighteen,Kashmir Highway,3.91,2.0,5.1,1.0,"Discover the perfect blend of contemporary design, world-class amenities, and elite community living with this exceptional 2-bedroom apartment in EIGHTEEN Islamabad Pakistans most prestigious residential development. This thoughtfully designed apartment spans approximately 1,150 sq. ft. , featuring: Two spacious en-suite bedrooms with built-in wardrobes and high-end fittings An open-concept living and dining area ideal for both relaxation and entertaining A modern European-style kitchen with premium cabinetry and integrated appliances Expansive windows and private balcony offering stunning views of landscaped gardens and the surrounding Margalla Hills Imported flooring, central climate control, and smart-home integration for maximum comfort and convenience Located in The Heights at EIGHTEEN, the apartment enjoys access to exclusive residential towers with concierge service, secure underground parking, backup power, and high-speed elevators. But EIGHTEEN offers far more than just a home its a self-sustaining, ultra-luxury community, meticulously master-planned to international standards. Highlights include: An 18-hole championship golf course designed to global specifications The Club at EIGHTEEN, offering fine dining, fitness, spa, and social venues The Square, a high-end retail and entertainment destination. State-of-the-art healthcare and educational facilities within the community. Eco-friendly infrastructure, underground utilities, and 24/7 surveillance Strategically located on Kashmir Highway near the Islamabad-Lahore Motorway (M-2) and just 10 minutes from Islamabad International Airport, EIGHTEEN offers unmatched accessibility while maintaining complete privacy and serenity. Whether you're an end-user seeking refined living or an investor targeting high rental yield and capital appreciation, this apartment at EIGHTEEN is a rare opportunity to own real estate in one of Pakistans most coveted addresses.",0,3.0,5.0,1.0,10.0,1.0,1.0,1.0,0.7666666666666667,Recently Built,Lower Floors,Mid Rise Core,Single/None
6054,The Centaurus,F-8,6.2,2.0,5.1,1.0,Spacious 1152 Sq Ft Apartment Prime location of Islamabad Contact for options and details,0,1.0,9.0,3.0,12.0,1.0,1.0,0.0,1.215686274509804,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
6060,Al-Ghurair Giga,Al-Ghurair Giga,1.5,3.0,5.1,3.0,Location Main G t Road Near DHA GATE 2 DHA 2 ISLAMABAD 3Bedroom Tv Lounch kitchen tarass etc Beautiful Location Near Market masjid Park etc Building Top Family Park Ceving phool Etc Family Apartment contact for Details Usman,0,1.0,1.0,2.0,10.0,,1.0,1.0,0.29411764705882354,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
6062,Faisal Town Phase 1,Faisal Town Phase 1,1.32,2.0,5.4,2.0,Faisal Heights Has been launched officially on a reasonable prise 12950 sq ft price located in Top class location of Faisal Town sector c A project of Faisal Town group layout plan is ready select your apartment now. For further details contact us.,0,1.0,1.0,5.0,35.0,1.0,1.0,1.0,0.24444444444444444,Future,Ground/First Floor,Skyscarper,High-Capacity
6067,The Centaurus,F-8,17.0,4.0,11.7,3.0,3 bed with Servant Room Corner and Margalla view Heighted floor Images for illustration only,0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4529914529914532,Modern Era,Ground/First Floor,Ground/Flat,Multiple Bank
6068,Sukh Chayn Residence,F-10,7.5,3.0,5.3,2.0,Unfurnished apartment Heighted Floor 2 bed Apartment Sukh Chayn Residence Contact for viewing and details.,0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1.4150943396226416,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
