,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Servant Quarters,Kitchens,Store Rooms,Storey Unit,Property era
4171,Kashmir Highway,9.8,6.0,20.0,6.0,"Backed by Top Developers: Eighteen is a flagship project by Ora Developers, Saif Group, and Kohistan Builders. Global Expertise: Ora Developers, known for high-end projects like Nile Towers, Pier 88, and Pyramid Hills in Egypt, and Ayia Napa Marina, bring international experience. Prime Location: Situated southwest of Islamabad, just 10 minutes from the new Islamabad International Airport and well-connected by major roads. Exclusive Living Spaces and Amenities Vast Development Area: Covers 2.77 million square yards. Premium Residences: o Over 2,000 units with 1,068 villas and 971 apartments. o 28 apartment buildings. o 10 clusters of villas. Championship Golf Course: o 7,200-yard, 18-hole professional golf course with scenic views. High-End Facilities Club House (40,000 sq ft): Offers cricket fields, sports clubs, swimming pools, tennis courts, squash courts, and yoga studios. Luxury Shopping: o 560,000 square feet of shopping space at ""The Square. "" o 1,200 parking spaces. Business Hub: o 1.2 million square feet of office space in 13 unique buildings, located in ""The Core. "" Medical Facilities: o 110,000 square feet of healthcare services at ""The Clinic. "" o Full emergency and non-emergency services. Boutique Hotel: o 150 rooms with event spaces for over 1,000 guests. Eighteen combines luxury, convenience, and an elegant lifestyle in Islamabad.",True,False,False,False,1,,,,2.0,Recently Built
4172,Kashmir Highway,5.8,5.0,10.0,5.0,"Backed by Top Developers: Eighteen is a flagship project by Ora Developers, Saif Group, and Kohistan Builders. Global Expertise: Ora Developers, known for high-end projects like Nile Towers, Pier 88, and Pyramid Hills in Egypt, and Ayia Napa Marina, bring international experience. Prime Location: Situated southwest of Islamabad, just 10 minutes from the new Islamabad International Airport and well-connected by major roads. Exclusive Living Spaces and Amenities Vast Development Area: Covers 2.77 million square yards. Premium Residences: o Over 2,000 units with 1,068 villas and 971 apartments. o 28 apartment buildings. o 10 clusters of villas. Championship Golf Course: o 7,200-yard, 18-hole professional golf course with scenic views. High-End Facilities Club House (40,000 sq ft): Offers cricket fields, sports clubs, swimming pools, tennis courts, squash courts, and yoga studios. Luxury Shopping: o 560,000 square feet of shopping space at ""The Square. "" o 1,200 parking spaces. Business Hub: o 1.2 million square feet of office space in 13 unique buildings, located in ""The Core. "" Medical Facilities: o 110,000 square feet of healthcare services at ""The Clinic. "" o Full emergency and non-emergency services. Boutique Hotel: o 150 rooms with event spaces for over 1,000 guests. Eighteen combines luxury, convenience, and an elegant lifestyle in Islamabad.",True,False,False,False,1,,,,2.0,Recently Built
4174,E-11,8.5,8.0,10.0,7.0,Top Location Good Condition House Reasonable Price For Sale in E-11/4 10 Marla Triple Story House Very Good Condition Having 7 Bedrooms With Attached Washroom Drawing And Dining Room 3TV Lounge 2 Kitchen Murree Face Main Road Street 12 Prime Location Near ToMarkaz Easy Access From Main Margalla Road,True,False,False,False,0,1.0,3.0,1.0,3.0,Modern Era
4175,Bani Gala,1.6,4.0,7.0,3.0,7 marla double storie newly built house for sale in banigala Islamabad at prime location with 3 bedrooms 2 bedroom on ground portion and one bedroom on first floor with drawing room TV lounge and kitchen. electricity and gas available carpeted street nice location best opportunity to grab. for more information contact on the given number thankyou.,True,False,False,False,1,,,,1.0,Brand New (2025)
4176,Bani Gala,1.15,3.0,5.0,2.0,5 marla single storie newly built house for sale in banigala Islamabad at prime location in banigala Islamabad 2 bedroom drawing room kitchen and all basic facilities available gas electricity and carpeted street nice location best opportunity to have your own house in banigala Islamabad. for more information contact on the given number thankyou.,True,False,False,False,1,1.0,1.0,,,Brand New (2025)
4177,B-17,3.6,6.0,8.0,5.0,"* 8 Marla Corner Double Unit House South-Facing* B-17, Block E Islamabad This beautifully built corner house in a prime, fully populated location is up for sale! Designed for both comfort and functionality, it offers spacious living in the suburb of Marglla Hills. Property Features: 5 Spacious Bedrooms 7 Modern Bathrooms 2 Elegant TV Lounges 2 Stylish Kitchens with Haier Appliances 1 Drawing Room Perfect for Guests 1 Study Room Ideal for WFH or Reading Mamty Full room with attached bath on rooftop Quality Fixtures & Finishings: Cables: Premium Pakistan Cables Switch Boards: TJ Switches Sanitary Fittings: Porta & Faisal Elegant & Durable Bathroom Tiles: 4x4 Orient Classy Look Utilities & Location: Unlimited Water Supply Surrounded by well-constructed houses Peaceful & secure neighborhood South-facing for excellent ventilation and sunlight . 2x Gates 2x Gas meter installed Serious buyers, for more details",False,False,False,True,1,1.0,1.0,,2.0,Brand New (2025)
4181,MPCHS - Multi Gardens,2.4,4.0,5.0,3.0,B-17 Block F Designer House for Sale - 3 spacious bedrooms with attached washrooms - 1 Elegant drawing room - 2 Designer kitchen with Modern Amenities - Powder Room for Guests - Parking Space for 1 Car very good location Near to main double road park Play ground school and commercial area. For More Details Contact us View Contact Detail View Contact Detail,False,False,False,False,1,1.0,2.0,,,Brand New (2025)
4182,G-13,5.05,5.0,7.0,5.0,"# 5 Master Bedrooms And 5 Attached Washrooms # 2 T. V Lounge, 2 Kitchen And 2 Drawing Dining Area # House Has Gass And Electricity Separated # Water Supply And Water Bore Is Installed # Beautiful Lawn Inside # Car Parking Area # House Is Located Near The Mosque And Market Place # Directly Linked To Main Double Road And Kashmir Highway",False,False,True,False,0,1.0,2.0,1.0,1.0,Recently Built
4183,G-14,3.6,4.0,4.0,4.0,Islamabad Sector G-13 G-14 Brand New House For plot size 25*40 4 bedroom attach bathroom TV lounge 2 kitchen servant quarter 1 car parking,False,False,False,False,0,1.0,2.0,1.0,2.0,Recently Built
4184,G-14,20.0,6.0,20.0,6.0,Islamabad Sector G-13 G-14 BRAND NEW LUXURY HOUSE FOR SALE size 60*100 6 Bedroom House 2 kitchen ۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔ Islamabad Sector F10 F11 E11 E12 D12 G13 G14 Call Us For More Details.,False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4185,DHA Phase 2,1.48,4.0,6.7,3.0,"three bedrooms with attachedwashroom drawing room with attached washroom tv loung kitchen cornar apartment both sides open view lift backup park view family apartments markit 'schools, mosque ,park, on walking distence for more details feel free to call us",False,False,False,False,0,,1.0,,3.0,Modern Era
4192,G-9,7.0,6.0,6.0,6.0,G9 Brand New House Available For Sale Prime Location 2 Side Open Street New Design Hose 4 Bed Attach Bath 2 Car Parking 2 Meters CDA Transfer Single Oner 7 Cror Demand Call Us For More Details.,True,False,False,False,0,,,,,Brand New (2025)
4193,G-11,3.0,4.0,3.6,4.0,"The property you yearned to buy is finally available. A luxurious life awaits you in this 800 Square Feet property. To fulfill your search for a property in G-11, here's what we have. We have the House you have been waiting to purchase. The metropolis of G-11 is offering a 800 Square Feet House at an ideal location of G-11 At a price of Rs. 32000000 such a deal may be hard to come again. What more this property has to tell you is written below. Double glazed windows provide good insulation during winters. You can walk to the mosque near House in no time. Keep in touch with your friends and family with broadband internet access. This property has a separate dining room to host your guests in privacy. The barbeque area in the House is great to host small parties. Receive appreciation by decorating your luxurious drawing space as you like that comes with this House. The daily waste disposal service ensures a clean environment. You can contact us now to know all about it.",False,False,False,False,0,,1.0,1.0,2.0,Modern Era
4194,G-8,4.9,4.0,5.6,4.0,Demolish house available for sale 25*50 size and extra land 25 food street main location G8 cda transfer single owner,False,False,False,False,1,,,,2.0,Vintage
4195,G-9,4.7,4.0,6.0,4.0,G9 house for sale old construction 4 bed attach 3 bath prime location price 4.70 cror demand CDA transfer single owner,True,False,False,False,0,1.0,2.0,2.0,2.0,Vintage
4196,G-10,12.0,6.0,20.0,7.0,G 10 House Available For Sale Double Corner Park Facing 7 Bedroom Attached Washroom To Kitchen Drawing Dining TV Launch Ideal Location Single Owner CDA Transfer Prime Location Best For Investment,True,False,False,True,0,1.0,,,2.0,Vintage
4197,E-18,1.78,3.0,8.0,3.0,Nicely built house. Marble flooring. Near to Masjid and market.,False,False,False,False,1,,2.0,,,Brand New (2025)
4198,Bhara kahu,1.85,6.0,5.0,8.0,5 marla trepal story House For Sale prince road barakahu Islamabad nice location electric and sui gas available,False,False,False,False,1,,,,,Brand New (2025)
4199,FECHS,3.1,6.0,7.0,5.0,"House for Sale Prime Location: Jinnah Garden, Islamabad Plot Size: 7 Marla (30x60) Beautifully Designed Double-Storey House Modern Architecture & Premium Finishes 5 Spacious Bedrooms with Attached Baths Stylish Kitchen & Dining Area Elegant Drawing & Living Rooms Wide Car Porch & Lush Green Lawn High-Quality Fixtures & Fittings LOP+Completion from CDA, 24/7 Water, Gas & Electricity Gated Community with Top Security Demand: [3100000] Negotiable*",True,False,False,False,1,2.0,2.0,1.0,2.0,Recently Built
4201,DHA Phase 1,3.75,5.0,11.0,3.0,"3-Bedroom Villa for Sale in Defence (DHA) Elegant Living at Its Best Presenting a beautifully maintained 3-bedroom villa for sale in the prestigious Defence Housing Authority (DHA). This property offers a perfect combination of modern design, comfort, and premium location ideal for families looking for a secure and high-quality lifestyle. Key Features: 3 Spacious Bedrooms with Attached Modern Bathrooms Stylish Kitchen with High-End Fixtures Bright & Airy Lounge and Dining Area Elegant Drawing Room for Guests Private Lawn Secure Car Parking Solid Construction with Premium Finishes Servant Quarter Prime Location: Situated in a Peaceful and Secure Sector of DHA Easy Access to Schools, Shopping Malls, Parks & Mosques Wide Roads, Clean Environment, and Gated Community Ideal for Long-Term Living or Investment Whether you're buying your first home or seeking a valuable investment, this 3-bedroom villa in DHA offers everything you need elegance, functionality, and location. Contact us today for a viewing or more details.",True,False,False,False,0,1.0,1.0,1.0,2.0,Recently Built
4203,Jhangi Syedan,0.7,2.0,2.5,2.0,Double story house for sale Lower portion ready just need clearance Upper portion need to finish Water boring Electricity Car parking Very well constructed for living Come and call us for your your confirm deal,False,False,True,False,1,,,,2.0,Brand New (2025)
4204,Bahria Enclave,3.7,6.0,8.0,5.0,"Totally A plus constructed house Huge car parking space for 2 car Beautiful lawn in front It's included Excellent and spacious 1:5 bedrooms, 2 drawing rooms, + two TV lounges+2 open kitchens ,servant quarters with attached kitchen and washroom: +6 Nashrooms +store extra space 2: Woodwork: All doors are solid made and handled imported. Media walls in both portions. 3: Two separate kitchens. 4:Sanitary: Popular pipes underground + bathrooms and kitchens. 5: Tiles: Master 6: Sanitary: F aisal fittings and porta seats 7: Proper space available for laundry 8: Paint:. Interior ICIn Nippon. Exterior ICI n Brighto 9. All lights are installed in the house 10. heighted and fullof sunlight 11. Pakistan cables used and matrix switches 12. Osaka lights. 13. Ac pipes 14. Walking distance from park masiid and market 15.80 percent end lived there We have a very professional team that deals in bahria Enclave Our inventory includes Many 10 marla options Brand new and used as wellin all sectors of bahria enclave. SO CALL US FOR YOUR SAFE INVESTMENT AND BEST COMPETITIVE MARKET PRICE",False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4205,Bahria Enclave,3.5,6.0,8.0,5.0,"Totally Abplus constructed house Huge car parking space for 2 car Beautiful lawn in front It's included Excellent and spacious 1:5 bedrooms, 2 drawing rooms, + two TV lounges+2 open kitchens ,servant quarters with attached kitchen and washroom: +6 Nashrooms +store extra space 2: Woodwork: All doors are solid made and handled imported. Media walls in both portions. 3: Two separate kitchens. 4:Sanitary: Popular pipes underground + bathrooms and kitchens. 5: Tiles: Master 6: Sanitary: F aisal fittings and porta seats 7: Proper space available for laundry 8: Paint:. Interior ICIn Nippon. Exterior ICI n Brighto 9. All lights are installed in the house. 10. heighted and fullof sunlight 11. Pakistan cables used and matrix switches 12. Osaka lights. 13. Ac pipes 14. Walking distance from park masiid and market . 80 percent end lived there We have a very professional team that deals in bahria Enclave Our inventory includes Many 10 marla options Brand new and used as wellin all sectors of bahria enclave. SO CALL US FOR YOUR SAFE INVESTMENT AND BEST COMPETITIVE MARKET PRICE",False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4206,Bahria Enclave,2.7,4.0,5.0,4.0,"Brand New Designer House for Sale in Sector N, Bahria Enclave, Islamabad Presenting a stunning 5 marla designer home with a front and back open layout. The property features a three marla lawn at the back, perfect for seating, playing, or customization, and includes an internal passageway for convenient access. Inside, the home boasts a designer kitchen, two spacious TV lounges, a drawing room, and four well-appointed bedrooms. Theres also a servant room on the rooftop. The house is beautifully designed, featuring elegant paintings, premium woodwork, and modern fixtures. The bathrooms come with stylish mirrors and built-in cupboards, adding a luxurious touch. The property also features well-installed lighting and grill work, ensuring both beauty and security. Located in Bahria Enclave, the house benefits from 24/7 electricity, excellent infrastructure, and a secure environment. The asking price is 27 million PKR, offering great value for such a prime property.",False,False,False,False,0,1.0,1.0,2.0,2.0,Brand New (2025)
4208,G-9,11.0,5.0,14.0,5.0,Size 40*80 Renovated Double Unit 4 Bedroom 4 Bathrooms 2 Kitchen,False,False,False,False,0,1.0,1.0,,2.0,Brand New (2025)
4209,F-8,30.0,7.0,26.0,6.0,"Attached images are just for reference purpose only Chohan HAY Estate Offers: - Good Livable House - 666 SQYDS - CDA Transfer - Investor Price - 6 Bedrooms with Attached Modern Bathrooms - Drawing Room, Dining Area, and TV Lounge - Enriched by Quality Finishes and Interior Highlights and Family Rooms with Walk-in Closets - Modern Kitchen, Handsome Cabinetry with Quartz Counter-top - Servant Quarter - Parking Space - Highly Secured Living Area - Great Opportunity, Don't Waste your Time Just Grab this Opportunity For more information and additional options, kindly contact at mentioned numbers or visit Chohan HAY Estate",False,False,False,False,0,,,1.0,1.0,Recently Built
4210,F-8,65.0,7.0,36.0,6.0,"Chohan HAY Estate Offers: - Ultra-modern brand-new house - 6 bedrooms with attached modern bathrooms - Drawing, dining, and TV lounge areas - High-quality finishes and interior highlights, with family rooms featuring walk-in closets - Modern and elegant kitchen with handsome cabinetry, quartz countertops, and included appliances such as a refrigerator, garbage disposal, and microwave - Modern bathrooms with large Roman showers, jacuzzi, separate shower cabins, vanities, and luxury features - Swimming pool and sauna - Ceiling roof - Wooden and imported tiles flooring - Lawn area - Servant quarters - Ample parking space - Rooftop barbecue area - Rooftop with views of Margalla and sunset - Located in a peaceful and highly secured living area - A great opportunity not to be missed For more information and additional options, please contact the provided number or visit Chohan HAY Estate.",False,False,False,False,0,,,1.0,2.0,Recently Built
4211,DHA Phase 2,8.5,7.0,20.0,6.0,"The 1 Kanal Double Storey House For Sale comes with top-notch fixtures and A construction, which means that the home and luxuries it offers is well worth the Available at a Reasonable Price of PKR 8 Crore 50 Lakh. >Ideal Location. >6 Bedrooms >7 Bathrooms >2 TV lounge >2 Kitchen >Near By amenities School Mosque Hospital Banks Commercial Shops >are just a few steps away. >Other Facilities are also available, > The modern architecture, imported finishing materials, and beautiful >exteriors will make you fall in love with it > The house enjoys a perfect location of DHA 2 Islamabad which >means that you will have access to all the best options for education, health, shopping, and entertainment just around the corner. >Buying this property will open up options for you. >It has been professionally designed so that both aesthetics and >functionality are at their best. > Take our word of advice and check it out. >This property helps you out for your searches on a House. > Beautifully design & Nice constructed.",False,False,False,True,0,1.0,2.0,1.0,2.0,Brand New (2025)
4212,D-12,13.0,6.0,10.0,6.0,Islamabad Sector D-12 Brand New House For Sale size 35x70 6 bedroom attach bathroom TV lounge Drawing dining room 2 kitchen servant quarter 3 car parking Demand 13 crore ۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔,False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4213,Bahria Enclave,6.0,5.0,12.0,5.0,Bahria Enclave Islamabad Sector C2 12 Marla Modern Design House For Sale Double Entrance 10kv Solar Installed 5 Bedrooms Attach Washrooms. 2 Big Tv Lounges 2 Luxury Kitchens Drawing Room Servant Quarter 2 Car Parking Near By School Parks Masjid Banks Brands And Restaurants Are Available,False,True,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4214,MPCHS - Multi Gardens,3.85,5.0,7.0,5.0,"Multi Garden brand new 7 Marla Double Unit House Available. For sale in B17 Islamabd. House Size 30*60. Luxury house A+ construction Double Story. Double Unit. Near to masque 5 Bedrooms. 6 Baths. 2 Drawing Dining. 2 Kitchen. 2 Study Rooms. Mumty + Washroom. Car Parking Space. Gas, Water Available Water Bore. Double Unit Investor Rate Ideal Location. Reasonable Price. B17 is a Good Society for Residence. Because Neat and Clean. 24 Hours Security. All Basic and Necessary Facilities Available. Interested People Can Contact Easily.",False,False,True,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4216,MPCHS - Multi Gardens,2.15,5.0,5.0,4.0,"Brand New Double Story Double Unit House for Sale in Block F Multi Gardens B-17 Islamabad Looking for a stylish, modern, and comfortable home in a peaceful location? Your dream house awaits in the heart of Multi Gardens B-17, Block F! Property Highlights: Brand New Double Unit House Ready to move in! 4 Spacious Bedrooms with elegant attached bathrooms 2 Modern Kitchens with stylish fittings (one on each floor) Drawing Room & TV Lounge on both floors Wide Car Porch with ample parking space Beautiful Front Elevation and open, airy design Quality & Design: Premium construction with top-quality materials Modern layout with graceful interior finishing Excellent ventilation and natural light Durable sanitary & electrical fittings Location Benefits: Prime location in Block F, Multi Gardens B-17 Safe and peaceful neighborhood Close to schools, parks, mosque, and commercial area Easy access to main GT Road and Islamabad city Perfect choice for: Families looking for a comfortable living space or investors seeking a high-return property in a rapidly developing area. Contact now to schedule a visit and make this beautiful house your new home!",True,False,False,False,1,1.0,2.0,1.0,2.0,Brand New (2025)
4217,G-14,4.7,5.0,4.0,4.0,4 Marla 25*40 Bernd new beautiful House for sale In G-14 Top location near market and masjed and park 4 bedroom 2 kitchen 5 bathroom,False,False,False,False,0,1.0,2.0,1.0,,Modern Era
4218,H-13,1.9,6.0,5.0,6.0,5marla 3stroys corner house very well maintain ground plus two story 6 bedroom with bath 3 kitchen drawing room TV launch very big terrace tile flooring wapda metre +boring +gas only ground portion used 1st and 2nd floor almost new for more detail contact me,False,False,False,True,1,,,,2.0,Brand New (2025)
4220,F-10,22.0,6.0,20.0,6.0,Available for sale F-10/3 prime location house liveable house Very close to Markaz 500 sq/yd 6 Rooms 6 wash rooms Double story,True,False,False,False,1,,,,2.0,Modern Era
4221,CBR Town Phase 1,6.25,6.0,14.2,8.0,14 Marla Brand New Double Story House 8 bedroom attach bathroom 2 Drawing Room Attach bathroom 2 dining 2 TV lounge 2 kitchen servant Quarter attach bathroom wide car parking facilities light 2 meter Gas 1 meter water supply Good location,False,False,False,False,0,1.0,2.0,1.0,2.0,Recently Built
4222,DHA Phase 3,4.65,5.0,8.0,4.0,AOA Sector B 8marla house Front back open Double glazed windows Heat treatment on roof top Quality construction JAZAKALLAH KHAIR,False,False,False,False,1,,,,,Brand New (2025)
4223,Bani Gala,3.5,5.0,12.0,5.0,"12 marla corner house for sale in bani gala near Imran Khan chock demand 3karoor50 lack The House here is constructed with the best materials and comes with a reasonable price. A favorably located property doesn't pop up often, so hurry up before it's too late. The centrally located 2400 Square Feet property is perfect to live a lavish life. According to our analysis, price of PKR Rs. 3 karoor 50 lack is quite a steal for the property in question. Property in this Bani Gala is up to the mark. So, go ahead and check it out for yourself. Bani Gala is popular for its real estate developments so book your unit as soon as possible. So please consider contacting us for more information.",False,False,False,True,1,,,,,Brand New (2025)
4224,National Police Foundation O-9,1.95,4.0,5.0,4.0,Like A Brend new House available for sale Prime location Boring electricity Near to men pwd rod Islamabad,True,False,False,False,1,,,,,Brand New (2025)
4226,Bani Gala,4.9,6.0,13.0,5.0,"New And Beautiful View Home Available For Sale, 5 Bedroom, 5 Washrooms, Servant Quatre With Kitchen &Amp; Washroom, Nayatel Internet, Fully Rizer Wire, 2 Electricity Meters And Solar System Installed.",False,True,False,False,1,,,,,Brand New (2025)
4227,Green Avenue,3.85,6.0,8.0,7.0,8 Marla 3 story House available for sale in park road green avenue. 7 bedrooms with attached washrooms. 3 kitchen 3 TV launch 1 gas meter 2 electric meter water bore contact for more details.,False,False,True,False,1,,,,3.0,Brand New (2025)
4228,Naval Anchorage,2.7,4.0,5.0,4.0,"double story 4 bedrooms house with attached baths tv lounge drawing room and kitchen. 2 bedrooms with attached baths tv lounge drawing dining and kitchen on each floor. solid construction,owner made for himself. 7 kv solar system installed,Electricity and gas connection available location is good,near to,masjid and market",False,True,False,False,1,2.0,2.0,1.0,2.0,Brand New (2025)
4231,D-12,16.0,7.0,16.0,10.0,"Discover this spacious and beautifully designed three-story house nestled in the heart of the prestigious D-12/2 sector, offering breathtaking mountain views and just steps away from the market and commercial hub Property Highlights: Basement Perfect for extended family or rental potential, featuring 5 generously sized bedrooms, a fully equipped kitchen, living room, store, and separate entrance from both the car porch and TV lounge for added privacy. Ground Floor A welcoming main level with 3 bedrooms, an elegant drawing room, a separate dining area, a modern kitchen, and a cozy living room, ideal for family gatherings and entertaining guests. First Floor Mirror layout of the ground floor with 3 more bedrooms, drawing room, dining room, kitchen, living room, and access to a spacious terrace with stunning panoramic views. Rooftop Includes a servant quarter, adding practicality and ease for household help. Location Benefits: Situated in D-12/2, one of Islamabads most sought-after and scenic residential sectors Picturesque mountainous backdrop Proximity to market, schools, and commercial areas ensures ultimate convenience. 11 Bedrooms | 13 Baths | 3 Kitchens | Store | Ideal for Large Families or Investors Whether youre looking for a spacious family home or a high-return investment opportunity, this stunning property has it all. Don't miss your chance to own a piece of Islamabads premium living!",False,False,False,False,0,2.0,1.0,,3.0,Recently Built
4232,DHA Phase 2,13.5,7.0,20.0,6.0,DHA Ph ll Islamabad 1 Kanal Brand New Corner House Near to Islamabad Highway 6 Bad Room With Bathroom 2 Drawing Room With Bathroom 2 TV Launch Available 2 Kitchen Available 1 Stor Available Servant Room Available Facing North Face Street 50 ft Near to Public Transport Available Near to Mosque School Available Near to Market Commercial Available Near to Petrol Pump Available Near to McDonald's Near to Jacrinda Club Contact Plots House Sale Purchase Rent,False,False,False,True,1,,,,,Brand New (2025)
4233,DHA Phase 2,10.25,7.0,20.0,7.0,DHA Ph ll Islamabad 1 Kanal New House Near to Islamabad Highway 7 Bad Room With Bathroom 2 Drawing Room With Bathroom 2 TV Launch Available 2 Kitchen Available 1 Stor Available Servant Room Available Facing Sun Face Street 70 ft Near to Public Transport Available Near to Mosque School Available Near to Market Commercial Available Near to Petrol Pump Available Near to McDonald's Near to Jacrinda Club Contact Plots House Sale Purchase Rent,False,False,False,False,0,1.0,1.0,1.0,,Brand New (2025)
4235,Emaar Canyon Views,8.2,6.0,20.0,5.0,"5 Bedrooms, 5 Bathrooms, Perfect for families or those needing extra space Open-concept design with plenty of natural light Modern kitchen with high-end, durable materials that add a luxurious feel Walk-in closet and en-suite bathroom with dual vanities, soaking tub, and separate shower Fully fenced with a beautiful boundary wall with back open view Attached 2-Car Garage, convenient parking and additional storage space Recently updated fresh exterior, interior paint Beautifully landscaped front and back yards with lush green grass, colorful flower beds and low-maintenance turf Smart home features including a thermostat, lighting, and security system Easy access to schools, shopping centers, food courts Quiet, family-friendly neighborhood Easy access to Islamabad Highway For More Information:",False,False,False,False,1,,,,,Brand New (2025)
4238,Bani Gala,4.65,6.0,10.0,4.0,Beautiful house for sale in banigala near korang road all facilities available now like electricity water boring carpeted street etc,False,False,True,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4240,Naval Anchorage,17.0,6.0,40.0,7.0,2 kanal Triple storey South face Double entrance Huge lawn Atleas 4-5 car parking space Upper portion has a separate entrance Owner built house,False,False,False,False,0,1.0,2.0,1.0,3.0,Brand New (2025)
4241,DHA Valley,1.54,3.0,8.0,3.0,"A beautifully designed 8 Marla double storey house is now available for sale in the secure and peaceful environment of DHA Valley, Islamabad. This property is ideal for a family looking for a spacious and well-planned home. Property Features: Size: 8 Marla Total Bedrooms: 3 (all with attached modern bathrooms) Servant Quarter: Yes (at the back with attached bath) Parking: Secure car parking space for 2 Cars Layout Details: Ground Floor: 1 spacious bedroom with attached bathroom Elegant drawing room Separate dining room Comfortable TV lounge Modern, fully-fitted kitchen First Floor: 2 spacious bedrooms with attached bathrooms Cozy TV lounge 1 dedicated store room 2 separate terraces, offering excellent ventilation and open-air sitting space Located in Oleander block DHA homes Close proximity to parks, mosques, and commercial areas. This is a fantastic opportunity to own a complete family home in a prime location. For further details or to schedule a visit, please",True,False,False,False,0,,2.0,,2.0,Recently Built
4242,G-14,3.8,4.0,4.0,4.0,"BrandNew constructed house 4 rooms 4 bathrooms 2 kitchen Drawing room space Very well work has been done Paint, tiles, sanitary, finishing is on point. Boring , electricity metres Meeting direct with owner For more details contact",False,False,False,False,0,,2.0,1.0,2.0,Brand New (2025)
4243,Bahria Enclave,5.9,6.0,10.0,5.0,"Elegant 10 Marla Designer House for Sale Sector C1, Bahria Enclave Islamabad Presenting a luxurious A+ construction designer house in one of the most sought-after sectors of Bahria Enclave Sector C1. This beautifully built home is the perfect blend of style, comfort, and solid construction. Property Highlights: 5 spacious luxury bedrooms with attached modern bathrooms 2 stylish TV lounges for family comfort 2 beautifully designed kitchens with premium fittings Elegant drawing room Servant room with attached bath Spacious car porch Additional Features: Solid and durable construction Sun-facing house with bright natural light Walking distance to park, masjid, filtration plant, and commercial area Prime location in Sector C1 Asking Price: 5.90 Crore This house offers a perfect opportunity for families looking for a premium lifestyle in Bahria Enclave. For more details and site visit, please contact us today.",True,False,False,False,0,1.0,2.0,2.0,2.0,Brand New (2025)
4244,DHA Phase 3,2.8,4.0,5.0,3.0,RAK PROPERTIES OFFER YOU 5 Marla House Available For Sale 3 bedrooms drawings tv lounge kitchen store room For more details contact us,False,False,False,False,0,1.0,1.0,1.0,2.0,Brand New (2025)
4245,G-13,8.1,6.0,10.0,6.0,Brand New Available For Sale Double Unit House Direct Access To Double Road Near To Market And Masjid Contact For More Details,False,False,False,False,1,,,,2.0,Brand New (2025)
4246,G-13,7.1,5.0,8.0,5.0,House available for sale on Ideal Location of G13 with all basic amenities A plus Construction House Tiles 2*4 Pine wood doors water bore 400 Meters water Supply Contact for more details,False,False,True,False,0,,,,1.0,Brand New (2025)
4247,G-15,6.0,7.0,14.0,6.0,14 Marla Luxury House for sale in G-15 Islamabad 6 Bedroom 8 Bathroom 2 TV lounge 2 kitchen 2 Drawing Dining Serwent room with attach Bathroom 3 parking space Water Boring electricity 2 gas meter installed . More options available Call now View Contact Detail,False,False,True,False,0,1.0,2.0,,2.0,Brand New (2025)
4248,F-11,19.0,7.0,20.0,9.0,"F-11/4 Corner House with Ideal Location Situated at the junction of Service Road and Main Street Margalla-facing 500 Square Yards 2 Drawing/Dining Rooms 3 TV Lounges 3 Kitchens Spacious and Beautiful Basement Highly sought-after location, frequently searched by buyers Move-in Ready with Renovation Potential CDA transfer Price: 19 Crores Contact: Miss Amber (Rapid Realtors)",False,False,False,True,0,,,,1.0,Recently Built
4249,DHA Phase 1,14.5,6.0,20.0,8.0,Dha 1 sec F Slightly used House Triple story house up for sale near by Masjid Schools Maga Markets Parks Hospitals and many other facilities at the nearest access Up mentioned pictures are a minor reflection of house In seeing Excellent house beautiful and owner build house so seeing would give you strong avidance how beautiful and strongly build house is this for further details please contact thanks,False,False,False,False,1,,,,3.0,Recently Built
4250,Malot,2.3,5.0,5.0,5.0,5 marla house for sell dhok mall opposite bahria enclave cube apartment islamabad,False,False,False,False,1,,2.0,,,Brand New (2025)
4251,Soan Garden,2.6,6.0,6.0,4.0,6marla double story ghar for sale Soan Garden available solid construction ideal location,False,False,False,False,1,,,,2.0,Recently Built
4253,F-10,16.4,6.0,24.0,5.0,"*INVESTMENT OPPORTUNITY HOUSE FOR SALE IN F-10/3, ISLAMABAD* *Location: Prime & Beautiful Location F-10/3 Islamabad* *Size: 600 Sq. Yards* Ideal for Serious Investors looking for a Premium Property in the heart of Islamabad. Price: Negotiable For More Details, Contact:",False,False,False,False,1,,,,,Modern Era
